ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Actual Cost,Annex,value,overun_%
2783,PRISHTINE,Jobs,"1, 2",33,Pastrimi dhe larja e rrugeve e trotuareve - pjesa e III-te,2010,TOIFOR,Prishtine,2-Apr-10,"90,000.00","68,567.68",Not Provided,68567.68,-0.24
2785,PRISHTINE,Supply,"1, 2",53,"Rregullimi I ujesjellesit ne shkollen fillore ""Emin Duraku""",2010,RAKETA,Prishtine,25-May-10,"3,500.00","2,662.50",Not Provided,2662.5,-0.24
2792,PRISHTINE,Jobs,"1, 2",40,Asfaltimi I rruges ne Trude,2010,ALKO IMPEX,Prishtine,25-May-10,"200,000.00","151,265.92",Not Provided,151265.92,-0.24
2763,PRISHTINE,Services,"1, 2",229,Servisimi I gjeneratorve,2010,FIDEA,Prishtine,30-Nov-10,"10,000.00","7,738.00",Not Provided,7738,-0.23
2754,PRISHTINE,Jobs,"1, 3",10,"Ndertimi I aneksit te shkolles ""Gjergj Fishta""",2010,BEDI NDERTON,Podujeve,25-Mar-10,"300,000.00","234,138.16",Not Provided,234138.16,-0.22
2758,PRISHTINE,Jobs,"1, 2",163,Ndertimi I murit mbrojtes ne rrugen Gjon Sereqi,2010,EURO BESI,Prishtine,13-Sep-10,"15,000.00","11,676.00",Not Provided,11676,-0.22
2747,PRISHTINE,Jobs,"1, 2",41,Ndertimi I kanalizimit ne Barileve,2010,ABC,Podujeve,26-Apr-10,"200,000.00","157,330.36",Not Provided,157330.36,-0.21
2732,PRISHTINE,Jobs,"1, 2",8,Ndricimi dhe zerimi I teatrit Dodona,2010,OLTI TRASING,Prishtine,12-May-10,"30,000.00","23,770.35",Not Provided,23770.35,-0.21
2708,PRISHTINE,Jobs,"1, 3",12,"Ndertimi I aneksit te shkolles ""Dardania""",2010,NENTE VELLEZEREIT,Prishtine,31-Mar-10,"250,000.00","200,223.37",Not Provided,200223.37,-0.2
2721,PRISHTINE,Supply,"1, 2",6,Furnizimi me perde per objektin e ri komunal,2010,METALI,Pozharan,12-Apr-10,"20,000.00","15,919.80",Not Provided,15919.8,-0.2
2709,PRISHTINE,Services,"1, 2",104,Pjesmarrja ne festivalin Nderkombetar te Femijeve ne Turqi,2010,AZIZI,Vushtrri,14-Jul-10,"5,000.00","4,000.00",Not Provided,4000,-0.2
2723,PRISHTINE,Services,"1, 2",120,Trajnimi- perkrahja e fermereve ne pemtari,2010,QENDRA ZHR,Prishtine,2-Dec-10,"20,000.00","15,910.00",Not Provided,15910,-0.2
2680,PRISHTINE,Supply,"1, 2",5,Furnizimi me xhama per shkollat dhe I. Parashkollore,2010,OLTI TRASING,Prishtine,24-May-10,"18,000.00","14,611.00",Not Provided,14611,-0.19
2681,PRISHTINE,Jobs,"1, 2",137,Ndertimi I rruges ne Arberi (prapa Ambasades Amerikane),2010,NOTI,Prishtine,18-Aug-10,"30,000.00","24,346.50",Not Provided,24346.5,-0.19
2693,PRISHTINE,Supply,"1, 2",75,Furnizimi me material didaktik per shkolla,2010,DIDAKTIKA,Prishtine,21-Oct-10,"70,000.00","56,436.28",Not Provided,56436.28,-0.19
2689,PRISHTINE,Jobs,"1, 2",185,Ndertimi I ndriqimit publik ne rruget rreth stadioumit futbollistik,2010,EL TRAFOMONT,Prishtine,8-Nov-10,"50,000.00","40,403.70",Not Provided,40403.7,-0.19
2645,PRISHTINE,Jobs,"1, 2",106,"Gelqerosaj dhe renovime ne disa shkolla (7 Marsi, F.Konica ‹)",2010,OLTI TRASING,Prishtine,12-Jul-10,"150,000.00","123,622.58",Not Provided,123622.58,-0.18
2648,PRISHTINE,Services,"1, 2",182,Organizimi I manifestimit Ylberi I Prishtines,2010,QENDRA KUF,Prishtine,16-Sep-10,"19,000.00","15,650.00",Not Provided,15650,-0.18
2652,PRISHTINE,Jobs,"1, 2",88,Renovimi I salles se Kuvendit Komunal,2010,UNION ENTERIER,Prishtine,30-Sep-10,"100,000.00","82,233.35",Not Provided,82233.35,-0.18
2618,PRISHTINE,Jobs,"1, 2",28,Rregullimi I sporteleve ne objektin e ri Komunal,2010,POLLUZHA,Drenas,12-May-10,"9,000.00","7,509.80",Not Provided,7509.8,-0.17
2617,PRISHTINE,Jobs,"1, 2",64,Rregullimi I trotuareve dhe shtigjeve ne parqet e qytetit,2010,KEMA COMPANY,Lipjani,9-Jun-10,"100,000.00","83,481.11",Not Provided,83481.11,-0.17
2640,PRISHTINE,Supply,"1, 2",101,Furnizimi me paisje mjekesore per ordinancat e QMF-ve,2010,KOSLABOR,Prishtine,19-Oct-10,"50,000.00","41,330.00",Not Provided,41330,-0.17
2607,PRISHTINE,Services,"1, 2",25,"Hartimi I projektit zbatues per rruget Vranidoll, Gjergj Balsha, Avdyl Rama",2010,VIZION PROJEKT,Prishtine,23-Apr-10,"10,000.00","8,410.00",Not Provided,8410,-0.16
2616,PRISHTINE,Supply,"1, 2",60,Furnizimi me uniforma verore - pjesa e pare,2010,ARTA TEX,Peje,14-Sep-10,"10,000.00","8,351.40",Not Provided,8351.4,-0.16
2615,PRISHTINE,Services,"1, 2",189,Mirembajtja e kamerave dhe pajisjeve tjera te vezhgimit,2010,PROFESIONAL ALARM,Prishtine,18-Nov-10,"15,000.00","12,528.00",Not Provided,12528,-0.16
2564,PRISHTINE,Supply,"1, 2",99,Furnizimi me inventar shendetsor per QMF-te ne Prishtine,2010,GRANITI SHPK,Suhareke,20-Aug-10,"70,000.00","59,695.00",Not Provided,59695,-0.15
2534,PRISHTINE,Services,"1, 2",15,Organizimi I manifestimit per dy vjetorin e Pavaresise,2010,ART SOUND,Gjakove,16-Feb-10,"8,000.00","6,900.00",Not Provided,6900,-0.14
2531,PRISHTINE,Services,"1, 2",203,Shtypja e rregulloreve te Komunes,2010,KGT,Prishtine,1-Nov-10,"5,000.00","4,325.00",Not Provided,4325,-0.14
2533,PRISHTINE,Supply,"1, 2",183,Furnizimi me inventar per qerdhe,2010,DUGLAS,Podujeve,5-Nov-10,"10,000.00","8,643.16",Not Provided,8643.16,-0.14
2538,PRISHTINE,Supply,"1, 2",205,"Furn, dhe mont. i apara.per zerim per sallen e Kuvendit Komunal - pj.I-re",2010,DUKAALFAAUDIA,Prishtine,22-Nov-10,"30,000.00","25,848.55",Not Provided,25848.55,-0.14
2547,PRISHTINE,Supply,"1, 2",17,Furnizimi me tepisona per I.parshkollore,2010,OLTI TRASING,Prishtine,29-Dec-10,"28,000.00","24,018.30",Not Provided,24018.3,-0.14
2509,PRISHTINE,Supply,"1, 2",31,Furnizimi me serra,2010,ELEN,Vushtrri,20-Apr-10,"45,000.00","39,365.00",Not Provided,39365,-0.13
2523,PRISHTINE,Jobs,"1, 2",42,"Rindertimi I rrugeve ""Deme Ahmeti"" dhe ""Ali Pash Gucia""",2010,EURO GARTEN,Lipjani,29-Apr-10,"150,000.00","130,637.25",Not Provided,130637.25,-0.13
2506,PRISHTINE,Services,"1, 2",81,Organizimi I manifestimit Dita e Europes,2010,QEKULTFEM,Prishtine,7-May-10,"4,000.00","3,500.00",Not Provided,3500,-0.13
2530,PRISHTINE,Services,"1, 2",201,Deratizimi I kanalizimit te Prishtines,2010,EKOLOGJIA NPP,Ferizaj,25-Oct-10,"45,000.00","38,971.36",Not Provided,38971.36,-0.13
2511,PRISHTINE,Jobs,"1, 2",159,Rregullimi I rruges dhe plotos rreth stadiumit futbollistik,2010,NOTI,Prishtine,5-Nov-10,"300,000.00","262,373.67",Not Provided,262373.67,-0.13
2474,PRISHTINE,Supply,"1, 2",20,furnizimi me komjuter per komune,2010,ART COMPJUT,Prishtine,20-Apr-10,"60,000.00","53,000.00",Not Provided,53000,-0.12
2473,PRISHTINE,Jobs,"1, 2",2,Ndertimi i bibliotekes se qytetit,2010,BEDI NDERTON,Podujeve,29-Jul-10,"1,700,000.00","1,502,443.20",Not Provided,1502443.2,-0.12
2479,PRISHTINE,Jobs,"1, 2",86,Rregullimi I oborrit te QMFne lagjen Vreshta dhe Arberia - 2,2010,REXHA,Prishtine,9-Aug-10,"60,000.00","52,952.00",Not Provided,52952,-0.12
2485,PRISHTINE,Supply,"1, 2",78,"Furnizimi me material higjenik, uji dhe vegla pune per shkolla",2010,BENI DONA PLAST,Prishtine,25-Aug-10,"60,000.00","52,890.90",Not Provided,52890.9,-0.12
2478,PRISHTINE,Jobs,"1, 2",173,"Rindertimi I rruges ""Gjergj Balsha""",2010,ABC,Podujeve,5-Oct-10,"600,000.00","529,670.68",Not Provided,529670.68,-0.12
2472,PRISHTINE,Jobs,"1, 2",89,"Mirembajtja e krojeve , fontanave dhe shportave ne qytet",2010,DAQA,Ferizaj,8-Nov-10,"35,000.00","30,950.00",Not Provided,30950,-0.12
2470,PRISHTINE,Services,"1, 2",244,Organizimi i programit per Vitin e Ri,2010,DE PRODUCTION,Prishtine,28-Dec-10,"10,000.00","8,850.00",Not Provided,8850,-0.12
2433,PRISHTINE,Jobs,"1, 2",47,"Rindertimi I rruges ""Ulqini""",2010,EURO GARTEN,Lipjani,28-Apr-10,"120,000.00","107,112.50",Not Provided,107112.5,-0.11
2452,PRISHTINE,Services,"1, 2",90,"Organizimi I manifestimi per Diten Nderkombetare te Femijeve ""1 Qershori""",2010,CONNEXT,Prishtine,31-May-10,"7,000.00","6,220.00",Not Provided,6220,-0.11
2438,PRISHTINE,Jobs,"1, 2",68,"Rindertimi I rruges ""I. Krasniqi"",""Jonuz Zeneli"" dhe ""Milan Shuflaj""",2010,ABC,Podujeve,25-Jun-10,"120,000.00","107,064.30",Not Provided,107064.3,-0.11
2444,PRISHTINE,Supply,"1, 2",117,Furnizimi me kartela plastike dhe materiale tjera per ID,2010,PROFESIONAL ALARM,Prishtine,8-Jul-10,"5,000.00","4,447.74",Not Provided,4447.74,-0.11
2440,PRISHTINE,Jobs,"1, 2",98,Ndertimi I shkolles fillore ne Tenezhdoll,2010,REXHA,Podujeve,2-Aug-10,"250,000.00","222,836.17",Not Provided,222836.17,-0.11
2451,PRISHTINE,Jobs,"1, 2",95,Asfaltimi I rruges ne Barileve -Lagja Verbovs krahu I majte,2010,WIENA,Prishtine,18-Aug-10,"20,000.00","17,777.77",Not Provided,17777.77,-0.11
2448,PRISHTINE,Supply,"1, 2",142,Blerja e imazhit satelitor Prishtina 2010,2010,STAT GIS,Prishtine,25-Aug-10,"10,000.00","8,891.00",Not Provided,8891,-0.11
2426,PRISHTINE,Jobs,"1, 2",176,"Ndertimi I vazhdimit te rruges ""Hyzri Talla""",2010,EURO GARTEN,Lipjani,6-Oct-10,"70,000.00","62,543.46",Not Provided,62543.46,-0.11
2434,PRISHTINE,Supply,"1, 2",150,Furnizimi me dru per shkollat e K. Prishtines - pjesa e I-re,2010,BOSHGEGU,Prishtine,8-Oct-10,"25,000.00","22,312.00",Not Provided,22312,-0.11
2435,PRISHTINE,Supply,"1, 2",150,Furnizimi me dru per shkollat e K. Prishtines - pjesa e II-te,2010,RUDINA NTP,Prishtine,8-Oct-10,"25,000.00","22,312.00",Not Provided,22312,-0.11
2454,PRISHTINE,Supply,"1, 2",223,Furnizimi me stufa per shkollat,2010,FORCA NTP,Prishtine,30-Nov-10,"10,000.00","8,880.00",Not Provided,8880,-0.11
2386,PRISHTINE,Supply,"1, 2",23,Furnizimi me kryp industrial per mirembajtjen e rrugeve te qytetit,2010,ZAHIRI,Prishtine,5-Mar-10,"3,500.00","3,150.00",Not Provided,3150,-0.1
2383,PRISHTINE,Jobs,"1, 2",18,"Rindertimi dhe zgjerimi I rruges ""Bill Kllinton""",2010,ALKO IMPEX,Prishtine,7-Apr-10,"1,800,000.00","1,621,497.79",Not Provided,1621497.79,-0.1
2387,PRISHTINE,Jobs,"1, 2",34,Grumbullimi dhe bartja e mbeturinave te ngurta,2010,DARDANIA,Prishtine,12-Apr-10,"20,000.00","18,000.00",Not Provided,18000,-0.1
2372,PRISHTINE,Services,"1, 2",21,hartimi I projektit zbatues per ndertimi e kolektoreve atmosferikdhe fekal,2010,INFRATEK NTSH ,Prishtine,13-Apr-10,"20,000.00","18,080.00",Not Provided,18080,-0.1
2417,PRISHTINE,Jobs,"1, 2",43,Ndertimimi I rruges Bardhosh Milevc - faza e II-te,2010,GASHI ING NNTPP,Suhareke,28-Apr-10,"70,000.00","62,683.67",Not Provided,62683.67,-0.1
2388,PRISHTINE,Services,"1, 2",67,Hartimi I projektit zbatues per rruget rurale,2010,PRO ART,Prishtine,28-May-10,"15,000.00","13,500.00",Not Provided,13500,-0.1
2403,PRISHTINE,Jobs,"1, 2",133,Ndertimi I rruges paralele ne magjistralen Prishtine-Shkup,2010,PAPENBURG & ADRIANI,Ferizaj,30-Aug-10,"1,500,000.00","1,348,928.50",Not Provided,1348928.5,-0.1
2331,PRISHTINE,Jobs,"1, 2",27,Riparimi I gropave ne qytet,2010,ABC,Podujeve,31-Mar-10,"150,000.00","136,727.00",Not Provided,136727,-0.09
2328,PRISHTINE,Services,"1, 2",35,Hartimi I projektit kryesor per prroin Vellusha dhe rruga Tomori,2010,ALFA I,Prishtine,23-Apr-10,"15,000.00","13,685.00",Not Provided,13685,-0.09
2360,PRISHTINE,Supply,"1, 2",24,Furnizimi me printer per nevojat e komunes,2010,BOTEK NT,Prishtine,28-Apr-10,"10,000.00","9,068.00",Not Provided,9068,-0.09
2320,PRISHTINE,Jobs,"1, 2",46,"Rindertimi I rruges ""Hilmi Rakovica""",2010,EURO GARTEN,Lipjani,12-May-10,"170,000.00","155,181.97",Not Provided,155181.97,-0.09
2350,PRISHTINE,Supply,"1, 2",82,Furnizimi me inventar,2010,GALANTERIA,Podujeve,17-May-10,"10,000.00","9,089.00",Not Provided,9089,-0.09
2366,PRISHTINE,Jobs,"1, 2",70,Rindertimi I trotuareve te Bunari I Hajratit dhe rruges per Prishtine,2010,DIMI BAU,Lipjani,11-Jun-10,"100,000.00","90,558.36",Not Provided,90558.36,-0.09
2326,PRISHTINE,Supply,"1, 2",79,"Furnizimi me material higjenik, uji dhe vegla pune per Institucione Parashko",2010,KGT,Prishtine,25-Aug-10,"20,000.00","18,248.36",Not Provided,18248.36,-0.09
2341,PRISHTINE,Services,"1, 2",140,Punimi I projekteve per rregullimin e parterit te 4 QMF-ve ne Prishtine,2010,EUP ENGINERING,Prishtine,26-Aug-10,"10,000.00","9,100.00",Not Provided,9100,-0.09
2345,PRISHTINE,Supply,"1, 2",73,Furnizimi me toner per printer dhe aparate fotokopjuese,2010,INK,Prishtine,29-Sep-10,"55,000.00","50,000.00",Not Provided,50000,-0.09
2311,PRISHTINE,Jobs,"1, 2",152,"Sanimi I rrugeve""B Shala"", ""D. e Marecit""",2010,VICTORIA INVEST,Suhareke,6-Oct-10,"100,000.00","91,479.00",Not Provided,91479,-0.09
2319,PRISHTINE,Supply,"1, 2",225,Furnizimi me uniforma per Brigaden e Zjarrfiksave,2010,ARTA TEX,Peje,14-Dec-10,"25,000.00","22,824.00",Not Provided,22824,-0.09
2272,PRISHTINE,Jobs,"1, 3",11,"Ndertimi I aneksit te shkolles ""Hilmi Rakovica""",2010,OLTI TRASING,Prishtine,12-Apr-10,"350,000.00","322,840.78",Not Provided,322840.78,-0.08
2289,PRISHTINE,Services,"1, 2",36,Hartimi I projektit kryesor per rrugen dhe platon rreth stadionit Prishtina,2010,PROJECT PLUS,Prishtine,23-Apr-10,"5,000.00","4,597.00",Not Provided,4597,-0.08
2282,PRISHTINE,Jobs,"1, 2",45,"Rindertimi I rruges ""Malush Kosova"" - faza e II-te",2010,ABC,Podujeve,28-Apr-10,"200,000.00","184,026.65",Not Provided,184026.65,-0.08
2283,PRISHTINE,Services,"1, 2",116,Organizimi I manifestimit per Diten e Amerikes,2010,SKENA ART,Gjakove,2-Jul-10,"5,000.00","4,600.00",Not Provided,4600,-0.08
2305,PRISHTINE,Jobs,"1, 2",177,Ndertimi I rruges ne Leban dhe kanalizimit fekal ne lagjen Prugovci 2,2010,GASHI ING NNTPP,Suhareke,19-Nov-10,"170,000.00","155,655.70",Not Provided,155655.7,-0.08
2233,PRISHTINE,Jobs,"1, 2",33,Pastrimi dhe larja e rrugeve e trotuareve - pjesa e I-re,2010,TOIFOR,Prishtine,2-Apr-10,"90,000.00","83,743.92",Not Provided,83743.92,-0.07
2244,PRISHTINE,Jobs,"1, 2",50,Rindertimi I rruges ne Vranidoll - lagja Serovc,2010,STRASSEN & TIEFBAU NNP,Ferizaj,9-Jun-10,"450,000.00","418,282.12",Not Provided,418282.12,-0.07
2232,PRISHTINE,Jobs,"1, 2",63,Ndertimi I totuareve dhe kanalizimit ne Hajvali,2010,GeRLICA COMPANY SHPK,Ferizaj,6-Jul-10,"150,000.00","139,627.57",Not Provided,139627.57,-0.07
2239,PRISHTINE,Services,"1, 2",147,"Punimi I projektit per sallat ed.fizike ne gjim.""Xh.Doda""Mati 1dhe rip QMF",2010,EUP ENGINERING,Prishtine,1-Sep-10,"10,000.00","9,300.00",Not Provided,9300,-0.07
2240,PRISHTINE,Services,"1, 2",156,"Pun.i proj. per rreg. e jashtem dhe rrethojes ne shk. Mati 1, Pavarsia,M.K",2010,EUP ENGINERING,Prishtine,29-Sep-10,"10,000.00","9,300.00",Not Provided,9300,-0.07
2215,PRISHTINE,Jobs,"1, 2",71,Mirembajtja e ndricimit publik ne qytetin e Prishtines,2010,RIMA,Prishtine,25-May-10,"120,000.00","112,202.00",Not Provided,112202,-0.06
2165,PRISHTINE,Jobs,"1, 2",65,Ndertimi I shtigjeve te kembesoreve ne varrezat e qytetit,2010,KEMA COMPANY,Lipjani,2-Jun-10,"60,000.00","56,564.00",Not Provided,56564,-0.06
2151,PRISHTINE,Supply,"1, 2",91,Pajisja dhe mobilimi I zyreve per objektin komunal,2010,NELI COM,Peje,7-Jun-10,"10,000.00","9,445.53",Not Provided,9445.53,-0.06
2180,PRISHTINE,Services,"1, 2",76,Hartimi I projektit per rrugen Shkupi - Kolegji turk,2010,3D PROJEKT,Prishtine,30-Jun-10,"5,000.00","4,700.00",Not Provided,4700,-0.06
2193,PRISHTINE,Jobs,"1, 2",131,Renovimet ne disa shkolla te Prishtines,2010,VALONI,Podujeve,20-Aug-10,"100,000.00","93,903.74",Not Provided,93903.74,-0.06
2163,PRISHTINE,Jobs,"1, 2",61,Ndertimi I shkolles fillore ne Hajvali,2010,LIRIDONI COM NTSH,Ferizaj,1-Sep-10,"900,000.00","848,743.08",Not Provided,848743.08,-0.06
2184,PRISHTINE,Jobs,"1, 2",143,Ndertimi I kanalizimit ne Tenezhdoll,2010,LABI,Prishtine,7-Sep-10,"80,000.00","75,192.00",Not Provided,75192,-0.06
2214,PRISHTINE,Jobs,"1, 2",111,"Rindertimi I rrugeve ""S.Anamali"", Peshteri, Pashtriku dhe N.Berati",2010,EURO GARTEN,Lipjani,23-Sep-10,"75,000.00","70,137.47",Not Provided,70137.47,-0.06
2155,PRISHTINE,Supply,"1, 2",100,Furnizimi me aparature mjekesore,2010,KOSLABOR,Prishtine,19-Oct-10,"50,000.00","47,200.00",Not Provided,47200,-0.06
2208,PRISHTINE,Services,"1, 2",191,Punimi I projektit per shkollen fillore ne Tenezhdoll,2010,PLAN ING,Prishtine,4-Nov-10,"10,000.00","9,360.00",Not Provided,9360,-0.06
2156,PRISHTINE,Supply,"1, 2",149,Furnizimi me thengjill per shkollat e K. Prishtines,2010,AJRONI COM NTP,Prishtine,17-Nov-10,"35,000.00","33,040.00",Not Provided,33040,-0.06
2154,PRISHTINE,Jobs,"1, 2",188,Ndertimi I tereneve sportive ne shkollat e fshatrave te Komunes,2010,BENI CONSTRUCTION NN,Viti,19-Nov-10,"200,000.00","188,850.23",Not Provided,188850.23,-0.06
2192,PRISHTINE,Jobs,"1, 2",219,Renovime ne objektin e vjeter te Komunes,2010,XHENTI,Kastriot,19-Nov-10,"30,000.00","28,171.44",Not Provided,28171.44,-0.06
2158,PRISHTINE,Jobs,"1, 2",210,Sanimi I rrugeve,2010,EURO GARTEN,Lipjani,22-Nov-10,"200,000.00","188,793.92",Not Provided,188793.92,-0.06
2185,PRISHTINE,Services,"1, 2",208,Mirembajtja dimrore e rrugeve rurale - pjesa e I-re,2010,VZ COMPANY,Prishtine,23-Nov-10,"50,000.00","46,994.00",Not Provided,46994,-0.06
2203,PRISHTINE,Supply,"1, 2",228,Furnizimi me material didaktik per I. Parashkollore,2010,KGT,Prishtine,14-Dec-10,"40,000.00","37,487.86",Not Provided,37487.86,-0.06
2161,PRISHTINE,Jobs,"1, 2",179,Rindertimi I kthinave te autobuseve ne rruget e qytetit,2010,WIENA,Prishtine,29-Dec-10,"120,000.00","113,224.37",Not Provided,113224.37,-0.06
2116,PRISHTINE,Services,"1, 2",153,"Organizimi I manifestimit ""Mbremje Verore""",2010,CORONA,Prishtine,6-Aug-10,"10,000.00","9,500.00",Not Provided,9500,-0.05
2144,PRISHTINE,Supply,"1, 2",103,Furnizimi me tri autoambulanca per nevojat e QKMF-re,2010,DELFIN,Prishtine,20-Aug-10,"100,000.00","94,560.00",Not Provided,94560,-0.05
2095,PRISHTINE,Supply,"1, 2",211,Furnizimi me nje automjet xhip,2010,REFORMA,Prishtine,29-Dec-10,"80,000.00","76,350.00",Not Provided,76350,-0.05
2030,PRISHTINE,Jobs,"1, 2",48,Asfaltimi I rruges ne lagjen Verbovc (Barileve),2010,NENTE VELLEZEREIT,Prishtine,27-Apr-10,"210,000.00","202,594.21",Not Provided,202594.21,-0.04
2036,PRISHTINE,Jobs,"1, 2",49,"Rindertimi I rruges ""Vlora""",2010,ABC,Podujeve,12-May-10,"110,000.00","106,021.46",Not Provided,106021.46,-0.04
2076,PRISHTINE,Supply,"1, 2",93,Furnizimi me inventar per shkollat e Komunes se Prishtines,2010,METALI,Pozharan,20-Aug-10,"320,000.00","306,191.00",Not Provided,306191,-0.04
2043,PRISHTINE,Supply,"1, 2",134,Furnizimi me libra per bibloteka,2010,ARTINI,Prishtine,25-Oct-10,"40,000.00","38,511.00",Not Provided,38511,-0.04
2072,PRISHTINE,Jobs,"1, 2",178,Ndertimi I tereneve sportive ne Fushen e Pajtimit,2010,OLTI TRASING,Prishtine,17-Nov-10,"50,000.00","47,927.21",Not Provided,47927.21,-0.04
2068,PRISHTINE,Services,"1, 2",218,Organizimi I manifestimit per 28 Nentorin,2010,LDS,Podujeve,25-Nov-10,"95,000.00","91,150.00",Not Provided,91150,-0.04
1971,PRISHTINE,Jobs,"1, 2",7,Punet perfundimtare per pjesen afariste Bregu i Diellit,2010,ARIAN COMER,Prishtine,30-Mar-10,"40,000.00","38,897.10",Not Provided,38897.1,-0.03
1983,PRISHTINE,Jobs,"1, 2",39,"Rindertimi I rruges ""Kadri Zeka""",2010,ABC,Podujeve,25-May-10,"250,000.00","242,731.91",Not Provided,242731.91,-0.03
1984,PRISHTINE,Jobs,"1, 2",56,Ndertimi I rruges prej magjistrales Prishtine-Gjilan deri te lagja e Byqmeteve,2010,ABC,Podujeve,25-May-10,"250,000.00","242,731.91",Not Provided,242731.91,-0.03
1966,PRISHTINE,Jobs,"1, 2",69,"Rindertimi I rruges ""Ekrem Rexha"" dhe garazheve te rreth rrutullimi",2010,NOTI,Prishtine,11-Jun-10,"120,000.00","116,720.83",Not Provided,116720.83,-0.03
1945,PRISHTINE,Supply,"1, 2",129,Furnizimi dhe servisimi i klimave per komune,2010,AIR CONDITION,Prishtine,25-Aug-10,"8,000.00","7,800.00",Not Provided,7800,-0.03
2016,PRISHTINE,Jobs,"1, 2",151,Sanimi I rrugeve rurale,2010,DARDANIA,Prishtine,6-Sep-10,"75,000.00","72,495.50",Not Provided,72495.5,-0.03
1950,PRISHTINE,Jobs,"1, 2",145,"Rikoinstruimi I kulmeve, rregull. I oborreve dhe disa puneve tjera ne shkolla",2010,OLTI TRASING,Prishtine,17-Sep-10,"240,000.00","233,938.62",Not Provided,233938.62,-0.03
1952,PRISHTINE,Jobs,"1, 2",154,Sanimi I rruges te Medresja ne Prishtine,2010,KEMA COMPANY,Prishtine,29-Sep-10,"190,000.00","185,138.80",Not Provided,185138.8,-0.03
1968,PRISHTINE,Services,"1, 2",202,Deatizimi I bodrumeve dhe garazhave publike te Komunes,2010,DDD,Prishtine,25-Oct-10,"50,000.00","48,630.10",Not Provided,48630.1,-0.03
1997,PRISHTINE,Jobs,"1, 2",213,Punimet e dheut dhe ndertimi I murit mbrojtes per lokacionin ne Arberi,2010,BEDI NDERTON,Podujeve,10-Nov-10,"75,000.00","72,693.75",Not Provided,72693.75,-0.03
1958,PRISHTINE,Services,"1, 2",208,Mirembajtja dimrore e rrugeve rurale - pjesa e II-te,2010,DARDANIA,Prishtine,23-Nov-10,"40,000.00","38,960.00",Not Provided,38960,-0.03
2013,PRISHTINE,Services,"1, 2",235,Dekorimi me drita ne qytetin e Prishtines,2010,LINK MPLUS,Prishtine,20-Dec-10,"60,000.00","58,000.00",Not Provided,58000,-0.03
1894,PRISHTINE,Services,"1, 2",32,Vaksionimi I gjedheve dhe qeneve,2010,SPANA,Fushe Kosove,29-Mar-10,"10,000.00","9,800.00",Not Provided,9800,-0.02
1879,PRISHTINE,Jobs,"1, 2",77,"Ndertimi I trafostacionit TS 20 (10)/0,400 kva per strehim social",2010,MONTEN,Prishtine,14-Jun-10,"30,000.00","29,450.00",Not Provided,29450,-0.02
